run_dir,id,ok,token_count,char_length,cluster,anchor
2025-09-09_23-54-29,25,True,5,43,1,qvthxkz vqjzqvthk rjvqxkz vqjzqvthk rjvqxkz
2025-09-09_23-54-29,24,False,7,56,1,gqvthqz rjvexkz lqvthqk vqzthqj xqvdkzj jxqvthk vqzqvthk
2025-09-09_23-54-29,27,True,15,164,0,qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop zxcvbnmnbv asdfghjklq weqwertyui asdfghjklm qwertyuiop zxcvbnmasd qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop zxcvbnmnbv
2025-09-09_23-54-29,28,True,9,71,2,qvthlqz xrvkqjz dklvane thqzvne jxqvric vqzthqk lqzvane rqxvane jxqvric
2025-09-09_23-54-29,29,True,6,42,1,qvthxk rjvplq wqzvne kxqvtr jxqvplk dkrqwv
2025-09-09_23-54-29,30,True,7,56,2,qvthxkz vrqjvne xrlqvane dkqvith vrqzqen jxqvane thqvrix
2025-09-09_23-54-29,31,True,11,107,1,qvthxkz vqjzqvthk vqjzqvthk vqjzqvthk vqjzqvthk vqjzqvthk vqjzqvthk vqjzqvthk vqjzqvthk vqjzqvthk vqjzqvthk
2025-09-09_23-54-29,32,True,5,44,1,qvthlqzv xrfkqvth jxqvrlkz vqzthqrf lqzvthqk
2025-09-09_23-54-29,33,True,5,37,1,qvthxkz vqjzqv lqvthqk vqjzqv lqvthqk
2025-09-09_23-54-29,34,True,6,52,1,qvthlqz vqkzvthk rjvthqk xzqvthkz lqvthqkz vqzqvthkz
2025-09-09_23-54-29,35,True,16,148,1,qvthxkzv jxqvthqk vqzkrwthk dkrqvthx jxqvthqz vqzkrwthq jxqvthqk dkrqvthx jxqvthqz vqzkrwthk dkrqvthqz jxqvthxk vqzkrwthq jxqvthqk dkrqvthx jxqvthqz
2025-09-09_23-54-29,36,True,18,179,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyuiq asdfghjkx zxcvbnmq qwertyuiop asdfghjkl zxcvbnmnb qwertyuiopq asdfghjklm zxcvbnmlk qwertyuiopx asdfghjklq zxcvbnmzx
2025-09-09_23-54-29,37,True,8,63,2,qvthric vxnolqk dkzvane rqthlor jxqvane thqvric vqzlorq xrvkzic
2025-09-09_23-54-29,38,False,13,116,1,qvthxkzv jxqvrlqg dkrqvith vqzthqrf lqvthqzj xqvdkzth jxqvthqg vqzqvthk jxqvthqz lqvthqrf dkrqvith jxqvrlqg qvthxkzv
2025-09-09_23-54-29,26,False,8,63,1,qvthxkz rjvthqk xzqvlen dkrqvth vqzthkz jxqvlen rjthqen xqvthkz
2025-09-09_23-54-29,39,False,13,90,1,qvthxk jzqvyl rqxvne kxqvra vqzjth lqzvex jxqvyl pzqvra vqzjth kxqvra jzqvyl rqxvne lqzvex
2025-09-09_23-54-29,40,True,6,49,2,qvthric xrvanel dkqvane thqvric vrqenlor kzvithen
2025-09-09_23-54-29,41,True,15,134,0,qwertyuiop asdfghjkl zxcvbnmasd qwertyui asdfghj zxcvbnm qwerty asdfgh zxcvbnm qwertyuiop asdfghjkl zxcvbnm qwertyui asdfghjkl zxcvbnm
2025-09-09_23-54-29,42,True,14,110,1,qvthlqz vqkzjv xrfqvth jxqvplk dkrqvth lqzvthg vqzqvth jxqvplk qvthlqz xrfqvth jxqvplk dkrqvth lqzvthg vqzqvth
2025-09-09_23-54-29,43,False,12,95,1,gqvthqz lqzvexr wqvdkth qvthzqk lqzvexr gqvthqz lqzvexr wqvdkth qvthzqk lqzvexr gqvthqz lqzvexr
2025-09-09_23-54-29,44,True,8,87,0,qwertyuiop asdfghjklz xcvmnbqwer zxcvbnmasd qwertyuiop asdfghjklz xcvmnbqwer zxcvbnmasd
2025-09-09_23-54-29,45,False,17,135,1,gqvthqz rjvclqk xzqvthg jxqvdkp lqzvthm bqvthqk jxqvdkz gqvthqj rjvclqz xzqvthq lqzvthq jxqvdkq bqvthgk gqvthqk rjvclqj xzqvthm lqzvthg
2025-09-09_23-54-29,46,True,6,65,0,qwertyuiop asdfghjklz xcvbnmqwer zxcvbnmasd qwertyuiop asdfghjklz
2025-09-09_23-54-29,47,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop
2025-09-09_23-54-29,48,False,13,116,0,qwertyui asdfghjk lkjhgfds zxcvbnmq plmnbvcx qwertyui asdfghjk lkjhgfds zxcvbnmq plmnbvcx qwertyui asdfghjk lkjhgfds
2025-09-09_23-54-29,49,True,12,95,1,qvthxkz jxqvthn rqxvplg vqzthkq jxkqvpl gqzvrqk vqzqvth jxqvrqk vqzqvth jxqvrqk gqzvrqk jxqvthn
2025-09-09_23-54-29,50,True,16,175,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytre wqazxswc edcvfrtgb qwertyuiop asdfghjklm nbvcxzlkj qwertyuiop asdfghjkl zxcvbnmqwerty asdfghjklqwerty zxcvbnmasdfg qwertyuiopasdfg
2025-09-09_23-54-29,51,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop
2025-09-09_23-54-29,52,True,4,33,1,qvthlqz vqkzvthk rjvthqk vqzqvthk
2025-09-09_23-54-29,54,True,5,39,1,qvthxkz vqjzqrf xrvqkth jxqvthg dkrqvne
2025-09-09_23-54-29,53,False,15,108,2,qvthric xrvane dkzlor thqvane vrqen xrlith qvdkz thqric vrlith qvloric xrvith qvthqen vrithq xrvithq qvdkith
2025-09-09_23-54-29,56,True,4,33,1,qvthlqz vqkzvthk xqvthqz vqzqvthk
2025-09-09_23-54-29,55,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop
2025-09-09_23-54-29,58,True,5,43,1,qvthxkz vqjzqvthk rjvqxkz vqjzqvthk rjvqxkz
2025-09-09_23-54-29,57,True,15,164,0,qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop zxcvbnmnbv asdfghjklq weqwertyui asdfghjklm qwertyuiop zxcvbnmasd qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop zxcvbnmnbv
2025-09-09_23-54-29,59,False,12,95,1,gqvthqz xrvkqjv dkrqvth lqzvthk jxqvdkz bqvthqj qvdkzvr jxqvthk lqzvthk gqvthqz xrvkqjv dkrqvth
2025-09-09_23-54-29,60,False,8,55,1,qvthxk jxqvrl zqkthn vqzjrc lqvthm xqvdkz jxqvth qvthxk
2025-09-09_23-54-29,62,True,11,78,2,qvthric xrvane dkzlor thqvane vrqen xrlith qvdkz xrvith lorthic vqzric qvthlor
2025-09-09_23-54-29,61,False,15,149,1,gqvthxkzq jxqvplnqk vqzthwqjz kxqvdrqjz lqzvthqkz jxqvplnqk vqzthwqjz kxqvdrqjz lqzvthqkz jxqvplnqk vqzthwqjz kxqvdrqjz lqzvthqkz jxqvplnqk vqzthwqjz
2025-09-09_23-54-29,63,False,15,133,1,gqvthxkz rjvplqth xzqvbnkq wqzvthqk jxqvplor kxqvthqz vqzthqpl jxqvbnth xqvplqth rjvplqkx qvthxkz jxqvbnrq xzqvplor gqvplqth rjvplqkx
2025-09-09_23-54-29,64,True,9,79,1,qvthxkzv rqxvthq vrqkzvdk lqvthqzv xqvdkzvr qvthxkzv lqvrqkzv xqvrqkzv vrqkzvdk
2025-09-09_23-54-29,65,True,8,63,1,qvthxkz rjvwnqk vqzthxg dkrqvne xqvthqz jxqvwnr lqzvthk vqzqvne
2025-09-09_23-54-29,67,False,5,38,2,qvthric xylvane jorqen dklorix vqzthar
2025-09-09_23-54-29,68,True,8,66,1,qvthxkz vrqjvne xrlqvth dkzqvane jxqvithk vqzthqk xrvqenq vrqkzthk
2025-09-09_23-54-29,69,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop
2025-09-09_23-54-29,70,True,16,158,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyuiq asdfghjkx zxcvbnmq qwertyuiop asdfghjkl zxcvbnmnb qwertyuiopz asdfghjklm zxcvbnmlk qwertyuiopx
2025-09-09_23-54-29,71,False,14,125,0,qwertyui asdfghjk lkjhgfds zxcvbnmq plmnbvcx qwertyui asdfghjk lkjhgfds zxcvbnmq plmnbvcx qwertyui asdfghjk lkjhgfds zxcvbnmq
2025-09-09_23-54-29,72,True,7,48,1,qvthxk vqzjrc lqvthg jxkzqv rjvthq vqzjrc lqvthg
2025-09-09_23-54-29,73,True,6,48,1,qvthxkz vqjzqv lqzqvthk rjvthqkz vqjzqv lqzqvthk
2025-09-09_23-54-29,74,True,15,134,1,qvthlqzv xrfkqvth jxqvthkz vqzthkxr lqzvthqk jxqvthqv qvthxrlq vqthxqrv jxqvthqk lqzthqrv qvthxqrv jxqvthkz vqthqvrl qvthxqrv jxqvthqk
2025-09-09_23-54-29,75,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop
2025-09-09_23-54-29,66,False,6,45,1,qvthxk jzqvwn rqxvthk lqzvexk vqzthqk jxqvwnk
2025-09-09_23-54-29,76,True,10,79,0,qwerty asdfgh jklzxc vbnmop qwertyui asdfghj klmnbv xcvbnm qwertyuiop asdfghjkl
2025-09-09_23-54-29,77,True,10,91,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew
2025-09-09_23-54-29,78,True,8,63,2,qvthric vxnolqz dkqvane jxqvlor thqvane rqxvane vqzlorq vrkzqen
2025-09-09_23-54-29,79,False,13,103,1,qvthlqz vqkzvth jxqvrlg dkrqvth lqzvthg vqzqvth jxqvrlg dkrqvth lqzvthg vqkzvth jxqvrlg dkrqvth lqzvthg
2025-09-09_23-54-29,80,False,14,111,2,gqvthqz xylvane rqxvith dkrqenq vqzthic jxqvane lqzthic vqzthic xylvane dkrqenq gqvthqz rqxvith jxqvane lqzthic
2025-09-09_23-54-29,81,True,8,60,2,qvthric vxnolq dkzvane rqthlor jxqvane thqvane lqzric vqzlor
2025-09-09_23-54-29,82,True,15,134,1,qvthqvdk rqxvthqz lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv lqvthqzv
2025-09-09_23-54-29,83,True,10,89,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz asdfghjk qwertyui asdfghjk zxcvbnml qwertyop
2025-09-09_23-54-29,84,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop
2025-09-09_23-54-29,86,True,10,99,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew qwertyuiop asdfghjkl zxcvbnmlkj qwertyuiop asdfghjklm
2025-09-09_23-54-29,87,True,5,39,2,qvthric vqzlorx dkqvane xrvithq vqzqenx
2025-09-09_23-54-29,88,True,6,45,1,qvthxk jzqvwn lqzvthk rqxvplk vqzthxk jxqvpln
2025-09-09_23-54-29,89,False,18,143,1,gqvthqz rjvclqk xzqvthg bqzvlen jxqvthk lqzvthm qvthxrl jxqvthm gqvthxk rjvclqg xzqvthm bqzvlen lqzvthg gqvthqk rjvclqz xzqvthq bqzvlen jxqvthq
2025-09-09_23-54-29,90,False,15,131,1,qvthlqz vqkzvthk jxqvrlxk dkrqvthn vqzqvthk lqzqvthk jxqvrlxk qvthlqz vqkzvthk dkrqvthn vqzqvthk lqzqvthk jxqvrlxk qvthlqz vqkzvthk
2025-09-09_23-54-29,91,True,15,125,0,qwerty asdfgh jklzxc vbnmop qwertyui asdfghj klmnbv xcvbnm qwertyuiop asdfghjkl zxcvbnm qwertyui asdfghjkl zxcvbnm qwertyuiop
2025-09-09_23-54-29,92,False,9,98,0,qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop asdfghjklz xcvbnmasdf
2025-09-09_23-54-29,93,True,12,107,1,qvthxkzv jxqvthqk vqzldkxr bqvthqen jxqvthqk vqzldkxr bqvthqen jxqvthqk vqzldkxr bqvthqen jxqvthqk vqzldkxr
2025-09-09_23-54-29,94,True,6,52,1,qvthlqz vqkzvthk rjvthqk xzqvthkz lqvthqkz vqzqvthkz
2025-09-09_23-54-29,95,True,6,48,1,qvthxkz vqjzqv lqzqvthk rjvthqkz vqjzqv lqzqvthk
2025-09-09_23-54-29,96,True,10,79,2,qvthric vxnolqk zrqvane jxkqvth lqzvane dkrqvex vqzthic jxqvane lqzthic qvthric
2025-09-09_23-54-29,97,True,6,48,1,qvthxkz vqjzqv lqzqvthk rjvthqkz vqjzqv lqzqvthk
2025-09-09_23-54-29,98,False,10,90,1,qvthxkzv rjvthqkz xqvldkth vqzthkxr jxqvthqk vrqzthkz xqvldqvr jxqvthqkz vqzthqvr jxqvthkz
2025-09-09_23-54-29,99,False,10,103,0,qwertyuiop asdfghjklz xcvbnmasd qwertyui qwertyuiop asdfghjklz xcvbnmasd qwertyui qwertyuiop asdfghjklz
2025-09-09_23-54-29,100,True,16,143,1,qvthlqzv xrfqvdkz jxqvthqk vqzthlqg kxqvdrth jxqvthqz vqzthlqk qvthlqxr jxqvthql vqzthlqj kxqvdrqv jxqvthql vqzthlqg kxqvdrth jxqvthqk vqzthlqz
2025-09-09_23-54-29,101,False,14,125,1,gqvthxkz rjvplqen wqzvthkq xzqvdkth lqvthxqj jxqvplor vqzthkxr jxqvdkth rjvplqen gqvthxkz lqvthxqj wqzvthkq xzqvdkth jxqvplor
2025-09-09_23-54-29,102,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop
2025-09-09_23-54-29,103,True,9,66,2,qvthric xrvane dkqen vrithlor jxqvane thqric vqzlor xqvane kxthric
2025-09-09_23-54-29,104,True,16,158,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnop qwertyuiq asdfghjkx zxcvbnmq qwertyuiop asdfghjkl zxcvbnmnb qwertyuiopz asdfghjklm zxcvbnmlk qwertyuiopx
2025-09-09_23-54-29,105,False,13,103,1,qvthxkz rjvthqk lqzvane xqvthro jxqvane kxqvric vqzthro jxqvane lqzvane qvthxkz rjvthqk lqzvane xqvthro
2025-09-09_23-54-29,106,True,16,127,1,qvthlqz xrfvdkj lqzvthg jxqvplk bqzvthn kxqvdrm jxqvpln vqzthlg qvthlqg xrfvdkm lqzvthq jxqvplq bqzvthk kxqvdrq vqzthlm qvthlqm
2025-09-09_23-54-29,107,False,15,121,1,gqvthqz lqvexrj bqzvith qxvrenk jxqvthk dkrqvex lqzvithk vqzqvexk jxqvren lqvexqz gqvthqz lqvexrj bqzvith qxvrenk jxqvthk
2025-09-09_23-54-29,108,True,5,43,1,qvthxkz vqjzqvthk rjvqxkz vqjzqvthk rjvqxkz
2025-09-09_23-54-29,109,False,11,81,2,qvthric vqzlor xrvane dkqvith jxqvane lqzric vqzlor xrvane jxqvane qvthric lqzric
2025-09-09_23-54-29,110,True,16,139,1,qvthlqz vqkzjvth xrvqkzj vqzqvthk jxqvthqk lqzqvthk jxqvthqz vqkzjvth xrvqkzj vqzqvthk jxqvthqk lqzqvthk jxqvthqz vqkzjvth xrvqkzj vqzqvthk
2025-09-09_23-54-29,111,True,10,79,1,qvthxkz vqjzqrf lqvthxg jxqvdkz rqxvthq vqzqjrf lqzqvth jxqvrqk vqjzqrf lqvthxg
2025-09-09_23-54-29,112,True,8,71,1,qvthxkzv jxqvthqk vqzdkxqv lqvthxqj kxqvrqth jxqvrqth vqzqvthx jxqvrqth
2025-09-09_23-54-29,113,False,13,105,1,qvthlqz xrvkqth jxqvdkz lqzvthk vqzqvthk jxqvdkz qvthlqz xrvkqth jxqvdkz lqzvthk vqzqvthk jxqvdkz qvthlqz
2025-09-09_23-54-29,114,True,13,122,1,qvthxkzv jxqvthqk lqzvdkth vrqzvthk xqvdkzvr jxqvrqthk lqzvrqthk qvdkxqvr jxqvrqthk lqzvrqthk qvdkxqvr jxqvrqthk lqzvrqthk
2025-09-09_23-54-29,115,True,11,79,2,qvthric xrvane dkzlor thqvane vrqen xrlith qvloric vqzric kxthric dkvane xqvric
2025-09-09_23-54-29,116,True,10,73,2,qvthric dkvane xrvith lorthan vqzric thqvane kxqvith dkrith lqvane zqvith
2025-09-09_23-54-29,117,True,12,107,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz asdfghjk qwertyui asdfghjk zxcvbnml qwertyop asdfghqz asdfghjk
2025-09-09_23-54-29,118,False,11,98,1,qvthlqzv xrfqvdkz jxqvthqk vqzthlqg kxqvdrth jxqvthqk vqzthlqg kxqvdrth jxqvthqk vqzthlqg kxqvdrth
2025-09-09_23-54-29,119,False,15,134,1,qvthlqzv xrfkqvth jxqvthkz vqzthkxr lqzvthqk jxqvthqk vqthqzvr kxqvthqj qvthxkzv jxqvrqth lqzvrqth jxqvrqzv qvthqzjx vqthqzjx jxqvrqth
2025-09-09_23-54-29,120,False,9,67,1,qvthlqz vqkzjv xqvthg jxqvrcg zqvthxg lqzvthg jxqvrcg vqkzjv xqvthg
2025-09-09_23-54-29,121,True,17,135,1,gqvthzq jxkqvwn lqzvthk rjvqxkz vqzthqg kxqvthm jxqvthg lqzqvth jxqvthk gqvthqz jxqvthm lqzqvth gqvthkz jxkqvth lqzqvth jxqvthg gqvthqz
2025-09-09_23-54-29,122,True,6,43,1,qvthxk vqzjrc lqvthm jxqvra kxqvthm rjzqvra
2025-09-09_23-54-29,123,True,15,119,1,qvthxkz rjvthqk lqzvexr dktqvna xqvthra jxqvlen vqzthik rjvqxen lqzvren dktqvra xqvthra jxqvlen vqzthik rjvqxen lqzvren
2025-09-09_23-54-29,124,True,9,63,2,qvthric xrvane dkzlor thqvane vrqen xrlith qvdkz xrvith lorthic
2025-09-09_23-54-29,125,True,7,56,1,qvthxkz rjvwnqg lqzvthk xqvdkzj pzqvthg jxqvwnr vqzqvthg
2025-09-09_23-54-29,126,False,15,128,1,qvthlqz vqkzjvth xrvqkzj vqzthqk vqzqvthk jxqvthqk vqzqvthk jxqvthqk vqkzjvth xrvqkzj vqzthqk vqzqvthk jxqvthqk vqkzjvth xrvqkzj
2025-09-09_23-54-29,127,True,11,98,1,qvthlqzv xrfqvdkz jxqvthqk vqzthlqg kxqvdrth jxqvthqk vqzthlqg qvthlqzv xrfqvdkz jxqvthqk vqzthlqg
2025-09-09_23-54-29,128,True,5,42,1,qvthlqz vqkzvthk rjvthqk vqzqvthk vqzqvthk
2025-09-09_23-54-29,129,False,10,89,1,qvthxkzv rjvthqen lqzvthic xqvthkzv jxqvthic vqthxkzv kxqvthic zqthxkzv jxqvthic qvthxkzv
2025-09-09_23-54-29,130,True,14,124,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytre wqazxsw edcvfrtg yhnujmko plmnbvcx qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytre
2025-09-09_23-54-29,131,True,13,133,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew qwertyuiop asdfghjkl zxcvbnmlkj qwertyuiop asdfghjklq zxcvbnmqwe asdfghjklm qwertyuiopz
2025-09-09_23-54-29,132,True,14,111,1,qvthlqz xrfvdkj jxqvthm lqzvrcp vqzthxk jxqvplm kxqvdrt vqzqvnl jxqvthg lqzqvdk jxqvplq vqzqvth jxqvthn lqzvrqk
2025-09-09_23-54-29,133,True,9,98,0,qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop asdfghjklz xcvbnmasdf qwertyuiop asdfghjklz xcvbnmasdf
2025-09-09_23-54-29,134,True,6,48,1,qvthxkz vqjzqv lqzqvthk rjvthqkz vqjzqv lqzqvthk
2025-09-09_23-54-29,135,True,4,32,1,qvthxkz vqjzqv lqzqvthk rjvthqkz
2025-09-09_23-54-29,136,True,10,74,2,qvthric xrvane dkzlor vqthic jxqvane thqric vqzlor kxqvane rqxvane jxthric
2025-09-09_23-54-29,137,False,6,53,2,qvthricx vqzlorqk jxkzvane dkrqenqv thqvaneq vrxqenqk
2025-09-09_23-54-29,138,False,16,140,1,qvthxkzv jxqvthqv lqzvdkth vqzqvthk jxqvdkth qvthxqv jxqvrqkz vqthxqv jxqvrqth vqzqvdkz jxqvthqv lqzvrqkz vqthxqv jxqvrqkz lqzvdkth jxqvthqv
2025-09-09_23-54-29,139,True,4,33,1,qvthlqz vqkzvthk rjvthqk vqzqvthk
2025-09-09_23-54-29,140,False,8,64,1,gqvthqz rjvexkz lqvthqk vqzthqj xqvdkzq jxqvthq lqzvexk vqzqvthq
2025-09-09_23-54-29,141,True,10,99,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew qwertyuiop asdfghjkl zxcvbnmlkj qwertyuiop asdfghjklm
2025-09-09_23-54-29,142,False,11,87,1,gqvthqz rjvexkq lqzvthk vqzthxk jxqvdkz pzqvthx lqzqvdk jxqvthk gqvthqz rjvexkq lqzvthk
2025-09-09_23-54-29,143,True,12,95,1,qvthlq vqzjvkd xqzvthk jxqvrlg kxqzvthg vqzjvkd jxqvrlg qvthlq vqzjvkd xqzvthk jxqvrlg kxqzvthg
2025-09-09_23-54-29,144,True,6,53,1,gqvthxkz rjvqlmth xqzvwnqk dktzqvfr lqvthxrm jxqvplkz
2025-09-09_23-54-29,145,True,10,79,0,qwerty asdfgh jklzxc vbnmop qwertyui asdfghj klmnbv xcvbnm qwertyuiop asdfghjkl
2025-09-09_23-54-29,146,True,11,88,1,qvthlqz xrvkqth jxqvdkz lqzvthg vqkzqvth jxqvdkq vqthqrv jxqvdkx lqzvthq xrvkqth jxqvdkq
2025-09-09_23-54-29,147,False,5,43,1,qvthxkzj rjvthqk lqzvexwq xqvdkzth jxqvthkz
2025-09-09_23-54-29,148,True,11,122,0,qwertyuiop asdfghjklz xcvmnbqwer zxcvbnmnbv asdfghjklq weqwertyui asdfghjklm qwertyuiopz asdfghjklx qwertyuiopm asdfghjklv
2025-09-09_23-54-29,149,False,13,116,1,gqvthxkz rjvclqth xqzvfrqk jxqvthqk lqzvthqk bqvthqzj vqzjthqk rjvclqth gqvthxkz jxqvthqk lqzvthqk bqvthqzj vqzjthqk
2025-09-09_23-54-29,150,True,6,52,1,qvthlqz vqkzvthk rjvthqk xzqvthkz lqvthqkz vqzqvthkz
2025-09-09_23-54-29,151,False,11,85,1,qvthlqz vqkzjv xrvqkth jxqvthg lqzvdkj bqzqvth jxqvthg vqkzjv lqzvdkj qvthlqz xrvqkth
2025-09-09_23-54-29,152,False,6,55,1,qvthxkzj rjvthqkz xqvldkth jxqvthqkz vqzthqkz jxqvthqkz
2025-09-09_23-54-29,153,True,10,71,2,qvthric xrvane dkzlor thqvane vrqen xrlith qvloric vqzric kxvane thqric
2025-09-09_23-54-29,154,True,16,127,1,qvthlqz vqkzjv rjvthxk lqzvthg xqvdkzj vqzqvthk jxqvthg rjvthqk vqzqvthg lqzqvthg xqvdkzj vqkzjv rjvthxk lqzvthg xqvdkzj vqkzjv
